% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 11 2022, 16:37"
% Table,Table 27 - 
% L_junc (nH),Eigenfrequency (GHz),abs(emw.Ielement_1)^2 * L_junc / (solid.Wk_tot * 2 + abs(emw.Ielement_1)^2 * L_junc / 2 + emw.intWm + emw.intWe + 0.25 * real(intop1(emw.ecd1.Jex / emw.iomega * conj(emw.Ex)+emw.ecd1.Jey / emw.iomega * conj(emw.Ey)+emw.ecd1.Jez / emw.iomega * conj(emw.Ez)))) (1)
9.035,6.441504812762826+1.2569725121855362E-5i,9.621426296445406E-8
9.035,6.441549083924703+6.455909384280329E-6i,1.6601913298605292E-7
9.035,6.44172767381817+0.002040405351834583i,6.056217882777987E-7
9.035,6.441808171364491+3.467888972363736E-6i,1.811282720078367E-7
9.035,6.441935459441319+1.1647533243621905E-5i,5.83409087180048E-7
9.035,6.4419371219335035+7.498344342802311E-4i,2.733784055965691E-7
9.035,6.442097854808304+3.288136000118861E-6i,2.5292423771388745E-7
9.035,6.442256220783269+5.817005878361653E-7i,7.035990637854607E-8
9.035,6.442363166348293+2.308284774742006E-6i,7.311387645466686E-7
9.035,6.442626639400386+1.303995934409411E-5i,1.8438920564389962E-7
9.035,6.4426381179352745+5.599407679119089E-6i,1.686018481235367E-7
9.035,6.442986226134303+7.679430562047605E-4i,1.8347698158826936E-7
9.035,6.443055467696935+0.002186391712369292i,9.006206125982042E-7
9.035,6.44319621792046+8.307667000492637E-4i,4.563835320821677E-8
9.035,6.443264741909158+2.1190514741869292E-5i,3.2203251589577297E-7
9.035,6.443553752468699+3.924505028652912E-8i,3.94197358007725E-6
9.035,6.443564822578569+8.771984630290696E-7i,8.029693594444135E-7
9.035,6.443678163154002+7.73173036798806E-5i,6.878779047936262E-7
9.035,6.44377449944915+2.247542441703292E-6i,7.503750397548973E-7
9.035,6.443855686224303+8.015266671191263E-4i,1.0472737697024258E-7
9.035,6.443981565146686+4.995152181969212E-6i,1.461701891591251E-6
9.035,6.444118270728379+7.4537453513636916E-6i,2.070295166179213E-7
9.035,6.444212887736734+2.075150001871568E-6i,4.286570425175665E-7
9.035,6.444242273760603+7.865899972848499E-4i,2.380854584769738E-7
9.035,6.44452033544775+2.5839026248385526E-6i,1.0175287290109912E-6
9.035,6.444747643335069+0.0030106679191527863i,5.260562508977646E-8
9.035,6.444863654041089-2.0408607182807464E-7i,0.0028806652324471927
9.035,6.445148017510526+3.0177134315991312E-5i,2.6811092170751213E-5
9.035,6.445444950603647+0.001009625647426345i,2.4298101585708877E-6
9.035,6.445458079072492+9.743001475237456E-4i,3.766504325116978E-7
9.035,6.445461496747368+2.6958862342869728E-6i,1.7564459454595168E-6
9.035,6.445546073239829+4.476710252888498E-5i,1.8756806754684007E-6
9.035,6.445574910007233+2.0104984369571642E-4i,7.739761859730246E-7
9.035,6.446022205750819+7.038094586484229E-6i,2.222440907469387E-5
9.035,6.446027724552699+0.006885140503750389i,3.8926377707560646E-8
9.035,6.446061573119168+1.6738889313962744E-6i,2.257171256835515E-4
9.035,6.446247136725971+5.404602247340663E-6i,2.349176409699085E-5
9.035,6.4467947954491285+1.1979382169986897E-5i,6.857806081849838E-7
9.035,6.4468168054321735+0.0047966415751573566i,2.8815362039961938E-6
9.035,6.446925501407137+3.931996729354565E-5i,2.1005712266019667E-6
9.035,6.446980478722982+0.006655040225317231i,8.048554996312462E-6
9.035,6.447133801014148+1.2329411614958001E-5i,4.30351232269308E-7
9.035,6.447291975348535+2.414144095374698E-7i,4.581377507279468E-6
9.035,6.447592303828265+3.173885331280712E-7i,9.204835870014346E-6
9.035,6.447958459983661+3.739128924981777E-6i,4.584620081857081E-7
9.035,6.448180940240949+2.2628838509022176E-5i,5.1228483869951505E-6
9.035,6.44821747100183+4.3567371729770737E-4i,2.393429600593814E-7
9.035,6.448353178283586+0.006723285948722974i,7.80433619121428E-8
9.035,6.4485645655448955+2.3249525394079735E-6i,9.387765493517417E-6
9.035,6.4486875900105805+1.1250890886702797E-5i,1.785867814849272E-6
9.035,6.448771334950975+2.555965681883619E-6i,4.686933102421098E-5
9.035,6.448810249428274+0.004378330272313726i,6.219711143911872E-7
9.035,6.4489713428995765+0.002987648971119328i,3.7973724698598124E-6
9.035,6.449229519538192+0.003978640686560798i,2.0843732469414468E-7
9.035,6.449317457827151+4.7899169432594045E-6i,3.5021801918471076E-5
9.035,6.449626514262304+3.64175442111304E-6i,1.0443531567210864E-5
9.035,6.449707752542482+0.0039033065120184026i,8.953784352862792E-7
9.035,6.449713091841805+2.9843344314219757E-6i,6.64043594114616E-5
9.035,6.449758412513967+3.748669910714535E-5i,7.33894120667062E-7
